"","Absolute.Magnitude","Close.Approach.Date","Epoch.Date.Close.Approach","Relative.Velocity.km.per.sec","Miles.per.hour","Miss.Dist..kilometers.","Orbit.ID","Orbit.Uncertainity","Minimum.Orbit.Intersection","Jupiter.Tisserand.Invariant","Epoch.Osculation","Eccentricity","Semi.Major.Axis","Inclination","Asc.Node.Longitude","Orbital.Period","Perihelion.Distance","Perihelion.Arg","Aphelion.Dist","Perihelion.Time","Mean.Anomaly","Mean.Motion","Equinox"
"1",21.6,"1995-01-01",788947200000,6.1158343887,13680.5099440799,62753692,17,5,0.0252819,4.634,2458000.5,0.425549083280269,1.40701130271298,6.02598128713833,314.373913413408,609.599786407648,0.808258932678493,57.2574698753955,2.00576367274746,2458161.64172049,264.837533298803,0.590551388020439,"J2000"
"2",21.3,"1995-01-01",788947200000,18.1139850263,40519.1731054305,57298148,21,3,0.186935,5.457,2458000.5,0.351674304586862,1.10777595443772,28.4129963719904,136.717241656808,425.869294206679,0.718199616022788,313.091974830269,1.49735229285265,2457794.96943128,173.741111989174,0.845329787559862,"J2000"
"3",20.3,"1995-01-08",7.89552e+11,7.5907111617,16979.6617975122,7622911.5,22,0,0.0430579,4.557,2458000.5,0.348248261761996,1.45882381447481,4.23796100294792,259.475978945026,643.580228077368,0.950790956866954,248.415038112861,1.96685667208267,2458120.46754891,292.893653779441,0.559370820131414,"J2000"
"4",27.4,"1995-01-15",790156800000,11.1738744976,24994.8398636678,42683616,7,6,0.0055118,5.093,2458000.5,0.216578307837878,1.25590288961358,7.90589434812512,57.1732661338825,514.082140365449,0.983901566972367,18.7077008717209,1.52790421225479,2457902.33743385,68.7410066177758,0.700277196449743,"J2000"
"5",21.6,"1995-01-15",790156800000,9.8408310539,22012.9549845092,61010824,25,1,0.034798,5.154,2458000.5,0.210447943228487,1.22561473661833,16.7933816599912,84.6293067946083,495.597820944911,0.967686636106476,158.263596071329,1.48354283713018,2457814.45514869,135.142132675629,0.726395445632955,"J2000"
"6",19.2,"1995-01-22",790761600000,24.4218839949,54629.3123082415,19324928,22,0,0.0987582,4.921,2458000.5,0.449762795996509,1.23747453629878,34.6951274528148,112.562984413088,502.808757899797,0.680904528878559,288.374651115604,1.79404454371901,2458242.43909867,186.7769322777,0.715977982371864,"J2000"
"7",21.5,"1995-01-22",790761600000,12.8996097219,28855.1369869948,22709816,30,0,0.0169065,6.623,2458000.5,0.551388806833007,0.876125366796483,2.0595769780108,2.61368236850676,299.535160736849,0.39303964616244,253.765937196532,1.35921108743053,2457900.77028218,119.861382303398,1.20186224253076,"J2000"
"8",22.4,"1995-01-22",790761600000,22.4213663146,50154.3543091455,30075154,12,6,0.000317965,7.033,2458000.5,0.475819477408116,0.813876724903495,23.1856866807236,117.111224044554,268.18616502096,0.426618326985285,220.940370757969,1.20113512282171,2457996.36039277,5.55680641285155,1.34235112378696,"J2000"
"9",25.8,"1995-01-22",790761600000,17.2746114639,38641.5783835946,64479012,23,4,0.00186378,5.122,2458000.5,0.204840678003045,1.24078931759474,13.7442332087249,161.933518574421,504.830395501296,0.9866251925197,13.9202125620725,1.49495344266979,2457935.03337072,46.6849594470471,0.713110785737297,"J2000"
"10",25,"1995-01-22",790761600000,12.1185099534,27107.8949147945,53825524,5,6,0.0187898,6.384,2458000.5,0.326860711970322,0.930233744449396,8.33375355170627,20.4912708650555,327.707636118272,0.626176880439848,128.46312989278,1.23429060845894,2457939.71298557,66.7769767355413,1.09854016300699,"J2000"
"11",19.1,"1995-02-08",792230400000,10.8299262895,24225.4621169794,64425220,42,0,0.214004,4.862,2458000.5,0.14935796270144,1.32292378805863,21.2652315535571,122.436833193692,555.777121989752,1.12533458626492,297.729853694896,1.52051298985234,2457976.98464612,15.2318745471015,0.647741667939038,"J2000"
"12",18.8,"1995-02-08",792230400000,39.6053279147,88593.1580123846,45023444,26,0,0.102643,3.242,2458000.5,0.861093330570998,1.98273858428813,10.0226360409773,163.209923412356,1019.75680942201,0.275415613091837,199.371458696314,3.69006155548442,2457894.2264481,37.5172573806191,0.353025345527279,"J2000"
"13",25.2,"1995-02-08",792230400000,25.2112885836,56395.1314325452,74196656,4,6,0.0119773,6.89,2458000.5,0.441694355101388,0.837557008127906,19.7675921075523,243.614950945384,279.975476316904,0.467612805562203,41.6483224835708,1.20750121069361,2457925.36752734,96.6073547316492,1.28582690432685,"J2000"
"14",21,"1995-02-15",792835200000,20.0192419349,44781.0422842595,71520800,16,1,0.0984179,6.469,2458000.5,0.452792293084196,0.907864592986423,8.27869574002769,114.379829288388,315.95850124477,0.49679050211815,7.39232656370337,1.3189386838547,2457968.75708586,36.167563286157,1.13939013693799,"J2000"
"15",22.3,"1995-02-15",792835200000,8.5263208443,19072.527096547,69003400,29,3,0.0259126,5.372,2458000.5,0.259732319532909,1.16651991571092,5.03504422559492,28.8520216092119,460.189455793967,0.86353699222199,271.614674402996,1.46950283919985,2457770.91260726,179.603118557667,0.782286502803265,"J2000"
"16",22.7,"1995-02-15",792835200000,7.9195240447,17715.1833355297,16047525,13,4,0.0525422,6.519,2458000.5,0.151415852407946,0.91373031635136,5.86041492289007,177.857302330491,319.025559179923,0.775377061630036,90.6412563445916,1.05208357107268,2458138.75597224,203.986951593741,1.12843623227369,"J2000"
"17",26.1,"1995-02-15",792835200000,4.6554785934,10413.840065481,38220508,8,5,0.018587,6.36,2458000.5,0.171432882636506,0.939138958853473,11.9477947670769,229.066321759446,332.4246440438,0.778139659940975,227.549974979706,1.10013825776597,2458042.50607822,314.509425128765,1.08295220119892,"J2000"
"18",20.6,"1995-02-15",792835200000,2.1643728488,4841.485625508,63257484,42,2,0.183818,3.753,2458000.5,0.407470352136872,1.97847130890162,4.06169556322702,142.259751083539,1016.46648087561,1.17230290797078,38.6604421772488,2.78463970983246,2457957.83503708,15.1105687601571,0.354168097790975,"J2000"
"19",21.7,"1995-02-22",7.9344e+11,28.4189542612,63570.3587869599,7261686.5,29,1,0.0128745,6.152,2453548.5,0.868418907496108,0.906733742515988,4.03507427018386,342.784208232154,315.368340772234,0.119309016450396,322.390495783912,1.69415846858158,2453597.57543235,303.979298610683,1.14152231995919,"J2000"
"20",23.9,"1995-02-22",7.9344e+11,17.5649076525,39290.9419279672,64932800,10,1,0.0453154,6.298,2458000.5,0.3973810059712,0.940325840390895,11.6076647207195,195.370087214147,333.05501929346,0.566658211995647,315.241874319619,1.31399346878614,2458097.46735586,255.18774350847,1.08090249101695,"J2000"
"21",21.3,"1995-02-22",7.9344e+11,19.223165458,43000.2988130454,15266183,13,4,0.0140066,5.149,2458000.5,0.249424882723609,1.18399343738887,35.2402424959676,149.156559889337,470.5679773705,0.888676013122627,55.2165096210231,1.47931086165511,2457816.15545083,141.029651175065,0.765032933204793,"J2000"
"22",19.3,"1995-03-08",794649600000,13.5763026447,30368.8313859151,52470692,117,0,0.00132059,5.308,2458000.5,0.190284255403881,1.18956055949551,5.88390331782979,251.591106336594,473.890782663659,0.96320591417408,211.446773978635,1.41591520481694,2457797.75148002,154.021706818727,0.759668710955933,"J2000"
"23",28.6,"1995-03-08",794649600000,9.8741431619,22087.4708387709,21946004,8,6,0.00220111,5.349,2458000.5,0.229959583978606,1.176188921427,1.99054843156458,336.873504697482,465.922896885845,0.905713006375406,120.062344755171,1.4466648364786,2457796.5160968,157.610208991109,0.772660031104252,"J2000"
"24",21.2,"1995-03-08",794649600000,15.938707162,35653.2940507738,25865906,6,6,0.0667857,4.469,2458000.5,0.437398953051165,1.44241490519732,24.5684218807744,151.731913719287,632.752295183897,0.811504135798615,97.0778195684764,2.07332567459602,2458075.09040706,317.562308746124,0.568943017259816,"J2000"
