"Absolute.Magnitude","Est.Dia.in.KM.min.","Est.Dia.in.KM.max.","Est.Dia.in.KM.range","Close.Approach.Date","Relative.Velocity.in.KM.per.sec","Miss.Dist.in.KM","Orbit.Uncertainity","Minimum.Orbit.Intersection","Jupiter.Tisserand.Invariant","Eccentricity","Semi.Major.Axis","Inclination","Asc.Node.Longitude","Orbital.Period","Perihelion.Distance","Perihelion.Arg","Aphelion.Dist","Mean.Anomaly","Mean.Motion","Hazardous"
21.6,0.1272198785,0.2844722965,0.157252418,19950101,6.1158343887,62753692,5,0.0252819,4.634,0.425549083280269,1.40701130271298,6.02598128713833,314.373913413408,609.599786407648,0.808258932678493,57.2574698753955,2.00576367274746,264.837533298803,0.590551388020439,"True"
21.3,0.1460679643,0.3266178974,0.1805499331,19950101,18.1139850263,57298148,3,0.186935,5.457,0.351674304586862,1.10777595443772,28.4129963719904,136.717241656808,425.869294206679,0.718199616022788,313.091974830269,1.49735229285265,173.741111989174,0.845329787559862,"False"
20.3,0.2315021222,0.5176544822,0.28615236,19950108,7.5907111617,7622911.5,0,0.0430579,4.557,0.348248261761996,1.45882381447481,4.23796100294792,259.475978945026,643.580228077368,0.950790956866954,248.415038112861,1.96685667208267,292.893653779441,0.559370820131414,"True"
27.4,0.0088014652,0.0196806745,0.0108792093,19950115,11.1738744976,42683616,6,0.0055118,5.093,0.216578307837878,1.25590288961358,7.90589434812512,57.1732661338825,514.082140365449,0.983901566972367,18.7077008717209,1.52790421225479,68.7410066177758,0.700277196449743,"False"
21.6,0.1272198785,0.2844722965,0.157252418,19950115,9.8408310539,61010824,1,0.034798,5.154,0.210447943228487,1.22561473661833,16.7933816599912,84.6293067946083,495.597820944911,0.967686636106476,158.263596071329,1.48354283713018,135.142132675629,0.726395445632955,"True"
19.2,0.3841978911,0.8590926012,0.4748947101,19950122,24.4218839949,19324928,0,0.0987582,4.921,0.449762795996509,1.23747453629878,34.6951274528148,112.562984413088,502.808757899797,0.680904528878559,288.374651115604,1.79404454371901,186.7769322777,0.715977982371864,"False"
21.5,0.1332155667,0.2978790628,0.1646634961,19950122,12.8996097219,22709816,0,0.0169065,6.623,0.551388806833007,0.876125366796483,2.0595769780108,2.61368236850676,299.535160736849,0.39303964616244,253.765937196532,1.35921108743053,119.861382303398,1.20186224253076,"True"
22.4,0.0880146521,0.1968067451,0.108792093,19950122,22.4213663146,30075154,6,0.000317965,7.033,0.475819477408116,0.813876724903495,23.1856866807236,117.111224044554,268.18616502096,0.426618326985285,220.940370757969,1.20113512282171,5.55680641285155,1.34235112378696,"False"
25.8,0.0183888672,0.0411187571,0.0227298899,19950122,17.2746114639,64479012,4,0.00186378,5.122,0.204840678003045,1.24078931759474,13.7442332087249,161.933518574421,504.830395501296,0.9866251925197,13.9202125620725,1.49495344266979,46.6849594470471,0.713110785737297,"False"
25,0.02658,0.0594346868,0.0328546868,19950122,12.1185099534,53825524,6,0.0187898,6.384,0.326860711970322,0.930233744449396,8.33375355170627,20.4912708650555,327.707636118272,0.626176880439848,128.46312989278,1.23429060845894,66.7769767355413,1.09854016300699,"False"
